2026-01-21 15:19:30,685 | INFO | Notification delivered to user_id=183594998
2026-01-21 15:19:30,786 | INFO | Notification delivered to user_id=183594998
2026-01-21 15:19:30,938 | INFO | Notification delivered to user_id=183594998
2026-01-21 15:19:31,041 | INFO | Notification delivered to user_id=183594998
2026-01-21 15:19:31,156 | INFO | Notification delivered to user_id=183594998
2026-01-21 15:19:40,191 | INFO | Notification delivered to user_id=183594998
2026-01-21 15:19:40,320 | INFO | Notification delivered to user_id=183594998
2026-01-21 15:19:40,464 | INFO | Notification delivered to user_id=183594998
2026-01-21 15:19:40,567 | INFO | Notification delivered to user_id=183594998
2026-01-21 15:19:40,731 | INFO | Notification delivered to user_id=183594998
2026-01-21 15:19:40,928 | INFO | Notification delivered to user_id=183594998
2026-01-21 15:19:41,052 | INFO | Notification delivered to user_id=183594998
2026-01-21 15:19:41,137 | INFO | Notification delivered to user_id=183594998
2026-01-21 15:19:41,219 | INFO | Notification delivered to user_id=183594998
2026-01-21 15:19:50,196 | INFO | Notification delivered to user_id=183594998
2026-01-21 15:19:50,316 | INFO | Notification delivered to user_id=183594998
2026-01-21 15:19:50,432 | INFO | Notification delivered to user_id=183594998
2026-01-21 15:19:50,551 | INFO | Notification delivered to user_id=183594998
2026-01-21 15:19:50,655 | INFO | Notification delivered to user_id=183594998
2026-01-21 15:19:50,781 | INFO | Notification delivered to user_id=183594998
2026-01-21 15:19:50,901 | INFO | Notification delivered to user_id=183594998
2026-01-21 15:19:50,985 | INFO | Notification delivered to user_id=183594998
2026-01-21 15:19:51,149 | INFO | Notification delivered to user_id=183594998
2026-01-21 15:20:00,195 | INFO | Notification delivered to user_id=183594998
2026-01-21 15:20:00,466 | INFO | Notification delivered to user_id=183594998
2026-01-21 15:20:00,657 | INFO | Notification delivered to user_id=183594998
2026-01-21 15:20:00,806 | INFO | Notification delivered to user_id=183594998
2026-01-21 15:20:00,965 | INFO | Notification delivered to user_id=183594998
2026-01-21 15:20:01,111 | INFO | Notification delivered to user_id=183594998
2026-01-21 15:20:01,273 | INFO | Notification delivered to user_id=183594998
2026-01-21 15:20:01,428 | INFO | Notification delivered to user_id=183594998
2026-01-21 15:20:01,608 | INFO | Notification delivered to user_id=183594998
2026-01-21 15:20:10,145 | INFO | Notification delivered to user_id=183594998
2026-01-21 15:20:10,239 | INFO | Notification delivered to user_id=183594998
2026-01-21 15:20:10,357 | INFO | Notification delivered to user_id=183594998
2026-01-21 15:20:10,507 | INFO | Notification delivered to user_id=183594998
2026-01-21 15:20:10,638 | INFO | Notification delivered to user_id=183594998
2026-01-21 15:20:10,738 | INFO | Notification delivered to user_id=183594998
2026-01-21 15:20:10,827 | INFO | Notification delivered to user_id=183594998
2026-01-21 15:20:10,931 | INFO | Notification delivered to user_id=183594998
2026-01-21 15:20:11,035 | INFO | Notification delivered to user_id=183594998
2026-01-21 15:20:20,276 | INFO | Notification delivered to user_id=183594998
2026-01-21 15:20:20,386 | INFO | Notification delivered to user_id=183594998
2026-01-21 15:20:20,561 | INFO | Notification delivered to user_id=183594998
2026-01-21 15:20:20,708 | INFO | Notification delivered to user_id=183594998
2026-01-21 15:20:20,961 | INFO | Notification delivered to user_id=183594998
2026-01-21 15:20:21,075 | INFO | Notification delivered to user_id=183594998
2026-01-21 15:20:21,221 | INFO | Notification delivered to user_id=183594998
2026-01-21 15:20:21,348 | INFO | Notification delivered to user_id=183594998
2026-01-21 15:20:21,476 | INFO | Notification delivered to user_id=183594998
2026-01-21 15:20:30,143 | INFO | Notification delivered to user_id=183594998
2026-01-21 15:20:30,267 | INFO | Notification delivered to user_id=183594998
2026-01-21 15:20:30,404 | INFO | Notification delivered to user_id=183594998
